,Rank,Name,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Country/Region
0,Reporter,Zarqa University,"5,768",18.1,32%,47:53:00,Jordan
1,Reporter,Ziauddin University,"4,906",8.8,1%,63:37:00,Pakistan
2,Reporter,Zhytomyr Polytechnic State University,"3,869",15.4,1%,34 : 66,Ukraine
3,Reporter,"Yusuf Maitama Sule University, Kano","12,880",33.0,0%,48:52:00,Nigeria
4,Reporter,York St John University,"6,315",18.6,12%,65:35:00,United Kingdom
5,Reporter,Yogyakarta State University,"23,685",18.5,1%,59:41:00,Indonesia
6,Reporter,Yanka Kupala State University of Grodno,"11,250",15.8,9%,58:42:00,Belarus
7,Reporter,Yamaguchi Prefectural University,"1,363",12.7,2%,86:14:00,Japan
8,Reporter,Yagshigeldi Kakayev International University of Oil and Gas,"4,545",9.8,1%,30 : 70,Turkmenistan
9,Reporter,WSB Academy,"4,346",6.2,33%,49:51:00,Poland
10,Reporter,Writtle University College,655,7.7,10%,79:21:00,United Kingdom
11,Reporter,Wrexham Glyndwr University,"3,520",22.0,14%,61:39:00,United Kingdom
12,Reporter,The World Islamic Sciences and Education University (WISE),"7,157",24.9,12%,62:38:00,Jordan
13,Reporter,Uzhhorod National University,"14,836",11.5,11%,55:45:00,Ukraine
14,Reporter,University of Worcester,"7,400",16.8,13%,69:31:00,United Kingdom
15,Reporter,WHU: Beisheim,"1,664",29.7,29%,32 : 68,Germany
16,Reporter,West Virginia University,"25,500",18.4,5%,52:48:00,United States
17,Reporter,West Ukrainian National University,"9,408",13.7,3%,42:58:00,Ukraine
18,Reporter,University of West London,"9,510",15.9,42%,60:40:00,United Kingdom
19,Reporter,Western Caspian University,"3,245",7.7,5%,59:41:00,Azerbaijan
20,,Explore,,,,,?Wellspring University
21,,Nigeria,,,,,University of Wales Trinity Saint David
22,,United Kingdom,,,,,Volgograd State University
23,,Russian Federation,,,,,Vitebsk State Medical University
24,,Belarus,,,,,Visayas State University
25,,Philippines,,,,,Virtual University of Tunis
26,,Tunisia,,,,,Vila Velha University
27,,Brazil,,,,,University of Veterinary Medicine and Pharmacy in Koice
28,,Slovakia,,,,,"Veritas University, Abuja"
29,,Nigeria,,,,,Varna University of Management
30,,Bulgaria,,,,,Varendra University
31,,Bangladesh,,,,,University of Vale do Itajaí
32,,Brazil,,,,,Valahia University of Targoviste
33,,Romania,,,,,National University of Uzbekistan named after Mirzo Ulugbek
34,,Uzbekistan,,,,,Explore
35,Reporter,University of Uyo,"18,911",30.4,0%,42:58:00,Nigeria
36,Reporter,Universidad UTE,"10,628",19.0,1%,48:52:00,Ecuador
37,Reporter,"Usmanu Danfodiyo University, Sokoto","24,553",19.1,0%,31 : 69,Nigeria
38,Reporter,Üsküdar University,"22,967",43.3,11%,64:36:00,Turkey
39,Reporter,Urgench State University,"22,548",21.3,5%,58:42:00,Uzbekistan
40,Reporter,Ural State Medical University,"7,067",11.9,5%,75:25:00,Russian Federation
41,Reporter,UNNOBA,"8,614",12.4,2%,58:42:00,Argentina
42,Reporter,Institute of Telecommunications and Informatics of Turkmenistan,"2,900",9.7,0%,24 : 76,Turkmenistan
43,Reporter,University College of Osteopathy,390,11.1,28%,55:45:00,United Kingdom
44,Reporter,Universidad del Pacífico Ecuador,651,13.9,2%,58:42:00,Ecuador
45,Reporter,United International University,"4,632",21.4,1%,30 : 70,Bangladesh
46,Reporter,Unichristus,"5,497",15.4,0%,67:33:00,Brazil
47,Reporter,Umaru Musa Yaradua University,"10,334",20.3,0%,27 : 73,Nigeria
